City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
pangnirtung,90,CA,1527199200,79,66.15,-65.72,26.6,14.99
luderitz,0,NA,1527204083,89,-26.65,15.16,56.4,13.67
provideniya,75,RU,1527201000,65,64.42,-173.23,41.0,4.47
busselton,92,AU,1527204083,100,-33.64,115.35,59.28,27.54
hermanus,76,ZA,1527204083,100,-34.42,19.24,52.17,3.71
busselton,92,AU,1527204083,100,-33.64,115.35,59.28,27.54
port alfred,92,ZA,1527204084,100,-33.59,26.89,62.52,11.1
mar del plata,0,AR,1527204084,60,-46.43,-67.52,59.91,16.02
jutai,36,BR,1527204084,93,-1.71,-47.89,77.46,2.59
jamestown,100,SH,1527204085,100,-15.94,-5.72,71.25,12.66
nikolskoye,0,RU,1527201000,57,59.7,30.79,48.2,2.24
lebu,0,CL,1527204085,100,-37.62,-73.65,54.6,4.16
avarua,75,CK,1527202800,74,-21.21,-159.78,82.4,8.05
aklavik,90,CA,1527199200,74,68.22,-135.01,44.6,10.29
port alfred,92,ZA,1527204084,100,-33.59,26.89,62.52,11.1
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
pisco,90,PE,1527202800,88,-13.71,-76.2,64.4,10.29
busselton,92,AU,1527204083,100,-33.64,115.35,59.28,27.54
berlevag,92,NO,1527204087,97,70.86,29.09,40.83,15.01
bredasdorp,76,ZA,1527199200,87,-34.53,20.04,55.4,2.24
cape town,75,ZA,1527199200,82,-33.93,18.42,57.2,10.29
cam ranh,64,VN,1527204087,93,11.92,109.15,81.6,4.38
novooleksiyivka,24,UA,1527204088,76,48.49,32.24,59.91,9.19
puerto ayora,20,EC,1527202800,74,-0.74,-90.35,78.8,18.34
klaksvik,32,FO,1527202200,87,62.23,-6.59,46.4,13.87
mwinilunga,0,ZM,1527204088,75,-11.73,24.43,57.84,3.71
rio grande,0,BR,1527198300,76,-32.03,-52.1,55.4,3.36
arraial do cabo,20,BR,1527199200,82,-22.97,-42.02,68.0,2.24
mahebourg,75,MU,1527199200,88,-20.41,57.7,71.6,11.41
esperance,88,AU,1527204089,27,-33.86,121.89,72.6,30.78
te anau,88,NZ,1527204089,100,-45.41,167.72,35.88,3.04
busselton,92,AU,1527204083,100,-33.64,115.35,59.28,27.54
barnstaple,92,GB,1527202200,93,51.08,-4.06,55.4,3.36
wattegama,92,LK,1527204090,99,7.35,80.68,68.46,1.7
carnarvon,24,AU,1527204090,92,-24.87,113.63,70.26,17.25
meulaboh,12,ID,1527204091,100,4.14,96.13,80.79,6.51
coihaique,75,CL,1527202800,87,-45.58,-72.07,51.8,8.05
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
jamestown,100,SH,1527204085,100,-15.94,-5.72,71.25,12.66
yulara,0,AU,1527199200,70,-25.24,130.99,42.8,5.82
dhidhdhoo,76,MV,1527204091,100,6.88,73.1,80.52,18.25
banjar,76,ID,1527204092,98,-7.37,108.54,73.23,3.6
rawson,0,AR,1527204092,71,-43.3,-65.11,48.57,5.17
kyren,92,RU,1527204092,99,51.68,102.13,33.18,2.59
bethel,90,US,1527198780,87,60.79,-161.76,46.4,9.17
vestmannaeyjar,92,IS,1527204093,90,63.44,-20.27,43.53,15.23
haines junction,0,CA,1527204093,41,60.75,-137.51,42.0,5.5
port alfred,92,ZA,1527204084,100,-33.59,26.89,62.52,11.1
hamilton,75,BM,1527202500,83,32.3,-64.78,73.4,9.17
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
busselton,92,AU,1527204083,100,-33.64,115.35,59.28,27.54
moindou,75,NC,1527202800,78,-21.69,165.68,73.4,11.41
trincomalee,68,LK,1527204155,92,8.58,81.23,76.29,13.89
jamestown,100,SH,1527204085,100,-15.94,-5.72,71.25,12.66
busselton,92,AU,1527204083,100,-33.64,115.35,59.28,27.54
bredasdorp,76,ZA,1527199200,87,-34.53,20.04,55.4,2.24
kavieng,12,PG,1527204156,100,-2.57,150.8,85.38,4.61
khatanga,88,RU,1527204156,100,71.98,102.47,33.0,8.97
