city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
portmore,jm,17,17,86,70,20,19
funtua,ng,11,11,73,72,8,6
bhasawar,in,27,27,79,45,0,6
rumonge,bi,-3,-3,71,100,0,3
canchungo,gw,12,12,80,69,0,5
malpe,in,13,13,80,94,40,3
thurso,gb,58,58,50,100,90,2
sungaipenuh,id,-2,-2,66,96,20,0
grand-bourg,gp,15,15,83,69,75,10
tomari,ru,47,47,54,89,48,14
martin,sk,36,36,87,58,1,8
gorom-gorom,bf,14,14,82,58,0,8
saint-marc,ht,19,19,75,98,68,0
chabahar,ir,25,25,84,100,8,10
ust-kut,ru,56,56,47,72,0,3
biu,ng,10,10,78,70,36,6
kulhudhuffushi,mv,6,6,82,100,76,21
ribas do rio pardo,br,-20,-20,67,86,56,8
bukachacha,ru,52,52,50,98,92,7
raipur,in,21,21,82,68,64,10
cua,ve,10,10,84,58,20,6
barao de melgaco,br,-16,-16,64,93,90,10
robertsport,lr,6,6,80,100,92,3
kozhevnikovo,ru,56,56,68,55,88,12
anaconda,us,46,46,68,35,1,9
calvinia,za,-31,-31,33,97,44,2
abu dhabi,ae,24,24,89,48,0,2
osuna,es,37,37,60,82,0,11
nakhon ratchasima,th,14,14,77,94,20,4
ilo,pe,-17,-17,55,100,48,2
aiquile,bo,-18,-18,49,95,64,2
den chai,th,17,17,77,89,24,2
shellbrook,ca,53,53,51,76,75,11
xai-xai,mz,-25,-25,70,100,32,7
balatonalmadi,hu,47,47,64,82,0,2
datong,cn,40,40,59,45,56,6
parichhatgarh,in,28,28,81,55,0,10
saint albans,us,44,44,72,40,1,8
kroya,id,-6,-6,74,80,44,3
le port,re,42,42,45,95,20,1
killorglin,ie,52,52,51,96,0,3
noyabrsk,ru,63,63,41,99,92,16
tomohon,id,1,1,75,94,40,1
chirkey,ru,42,42,60,63,75,11
priiskovyy,ru,51,51,52,100,88,15
panguipulli,cl,-39,-39,39,93,0,6
aketi,cd,2,2,71,99,36,2
eldorado,mx,24,24,96,34,20,13
benghazi,ly,32,32,71,98,0,8
aleppo,sy,36,36,65,77,0,6
weston,us,41,41,79,65,1,8
nueva loja,ec,0,0,82,74,20,3
russas,br,-4,-4,80,77,24,9
gilgit,pk,35,35,33,83,0,0
kitimat,ca,54,54,57,47,75,16
dolores hidalgo,mx,21,21,87,10,5,14
sokoto,ng,13,13,81,51,0,9
phetchaburi,th,13,13,82,100,8,4
aksu,cn,52,52,48,87,40,11
pemba,mz,-12,-12,78,100,44,16
ust-nera,ru,64,64,35,74,12,2
lang son,vn,21,21,76,95,44,3
acajutla,sv,13,13,83,88,40,4
kilkis,gr,40,40,66,59,20,1
larvik,no,59,59,65,100,12,5
dong hoi,vn,17,17,81,95,20,5
jever,de,53,53,61,88,75,3
rio do sul,br,-27,-27,57,86,88,6
excelsior springs,us,39,39,80,57,20,14
aklavik,ca,68,68,51,65,40,8
ozark,us,37,37,84,74,90,23
chitungwiza,zw,-18,-18,53,76,0,6
ajdabiya,ly,30,30,70,48,0,8
suozhen,cn,36,36,76,54,0,9
aracati,br,-4,-4,80,77,24,9
ucluelet,ca,48,48,57,87,75,6
alekseyevka,kz,53,53,53,81,40,6
maunabo,us,18,18,85,88,90,10
potsdam,us,52,52,67,88,75,9
kampene,cd,-3,-3,75,55,92,1
bocas del toro,pa,9,9,75,100,92,5
owatonna,us,44,44,70,64,40,12
plotnikovo,ru,55,55,69,46,0,20
garowe,so,8,8,81,53,0,16
kisiwani,tz,-4,-4,59,94,24,1
zhumadian,cn,33,33,74,76,0,4
mosquera,co,4,4,62,63,40,5
cleveland,us,41,41,70,64,1,9
were ilu,et,10,10,53,89,48,1
rentina,gr,40,40,66,59,20,1
valdivia,cl,-39,-39,39,93,0,7
armizonskoye,ru,55,55,43,77,68,13
niigata,jp,37,37,62,88,0,4
kodino,ru,63,63,40,82,68,2
kraluv dvur,cz,49,49,63,88,0,3
kieta,pg,-6,-6,81,100,48,4
sokolo,ml,14,14,85,43,8,10
mitsukaido,jp,36,36,68,88,20,1
hillsboro,us,39,39,82,65,90,8
howard springs,au,-12,-12,71,40,0,10
buchanan,lr,5,5,78,100,92,4
tetiz,mx,20,20,93,41,75,4
oneonta,us,42,42,68,76,12,4
ventspils,lv,57,57,53,100,0,3
ahar,ir,38,38,40,96,44,2
norilsk,ru,69,69,35,92,88,3
monte patria,cl,-30,-30,35,82,0,0
east wenatchee bench,us,47,47,78,27,1,8
peru,us,41,41,81,58,90,6
chivilcoy,ar,-34,-34,40,86,0,6
meaux,fr,48,48,63,88,0,8
rawson,ar,-43,-43,23,77,0,3
marin,mx,47,47,65,82,68,5
glendive,us,47,47,68,43,40,25
jiwani,pk,25,25,83,92,64,7
syracuse,it,43,43,69,68,75,10
majene,id,-3,-3,82,100,8,15
lakhdenpokhya,ru,61,61,57,45,12,7
huarmey,pe,-10,-10,63,80,36,2
el guamo,co,10,10,83,86,32,4
mahina,pf,13,13,79,78,44,9
octeville,fr,49,49,56,87,0,3
landskrona,se,55,55,61,68,0,1
wageningen,sr,51,51,60,88,90,1
komsomolskiy,ru,67,67,29,95,92,17
voyvozh,ru,62,62,31,90,24,8
coari,br,-4,-4,75,93,48,2
gonbad-e qabus,ir,37,37,62,97,92,3
milici,ba,38,38,71,53,0,2
gerash,ir,27,27,86,25,0,0
kargil,in,34,34,31,99,76,1
muswellbrook,au,-32,-32,59,86,12,7
albury,au,-36,-36,43,87,90,4
pauini,br,-7,-7,78,84,56,5
tabas,ir,33,33,83,19,24,11
huambo,ao,-12,-12,45,78,0,2
laje,br,-13,-13,70,99,92,6
muriti,tz,-1,-1,75,100,32,6
olovyannaya,ru,50,50,62,62,44,18
vieques,us,18,18,85,58,20,11
fram,py,46,46,62,93,8,2
kadhan,pk,24,24,80,90,64,11
resistencia,ar,-27,-27,50,81,0,8
ahraura,in,25,25,81,74,0,6
formosa,ar,-26,-26,51,81,90,8
waitati,nz,-45,-45,28,94,0,4
vitre,fr,48,48,68,77,0,4
lovozero,ru,68,68,39,98,76,3
porto walter,br,-8,-8,70,99,92,2
quepos,cr,9,9,67,93,75,2
gallup,us,35,35,89,4,88,13
hell,no,63,63,55,71,0,17
marietta,us,33,33,86,55,40,8
gorno-altaysk,ru,51,51,69,49,88,6
lichtenburg,za,-26,-26,35,61,0,7
araouane,ml,18,18,87,25,32,3
nnewi,ng,6,6,75,93,88,5
purranque,cl,-40,-40,47,49,0,1
riga,lv,56,56,53,87,0,2
rockport,us,28,28,89,62,1,20
grand gaube,mu,-20,-20,75,73,75,8
karasburg,na,-28,-28,33,73,0,2
pirgos,gr,35,35,75,78,0,5
jimma,et,7,7,57,99,92,2
klaebu,no,63,63,50,81,0,19
salvacion,ph,14,14,80,88,75,2
yellowknife,ca,62,62,66,29,75,10
winnemucca,us,40,40,82,10,1,4
oromocto,ca,45,45,59,62,90,17
salekhard,ru,66,66,33,92,92,12
zacatlan,mx,19,19,65,63,80,2
yertsevo,ru,60,60,39,77,24,2
bereda,so,43,43,59,87,75,4
pionerskiy,ru,61,61,35,89,92,4
santa josefa,ph,7,7,79,85,80,1
kushiro,jp,43,43,57,76,40,3
